chain,gecko_chain_id,peggedUSD
Abstract,,19246470.186409786
Acala,acala,0.0
Agoric,agoric,421649.7666164062
Algorand,algorand,45224908.730309814
Aptos,aptos,1350088704.4227142
Arbitrum,,4411824477.932513
Arbitrum Nova,,545927.1217894371
Archway,,17297.37656204029
Astar,astar,3015171.6250736876
Aurora,aurora-near,5406805.036798038
Avalanche,avalanche-2,2480366899.044767
Aztec,,423899.84733396186
BSC,binancecoin,14818874252.029686
Base,,4677094273.92522
Berachain,,169480916.71386603
Bifrost Network,bifrost,6696617.008596058
Bitlayer,,549126.5688227235
Bittorrent,bittorrent,311925.8345516567
Blast,,52360143.43506803
Boba,boba-network,1992984.6699863977
Canto,,6775171.446852765
Cardano,cardano,46847318.992423475
Celo,celo,174688555.39834458
Concordium,concordium,
Conflux,conflux-token,11814.157729996175
Corn,,11988834.314747531
Crab,darwinia-crab-network-native-token,1277.4156002623329
Cronos,crypto-com-chain,187383258.28754118
DFK,defi-kingdoms,1004241.3484986385
DefiChain,defichain,0.0
Dogechain,dogechain,434943.2619287538
EDU Chain,edu-coin,480407.6769067935
EOS,eos,1715729.5138676844
Elastos,elastos,227599.55891267446
Ergo,ergo,486058.6075071711
Ethereum,ethereum,166742529740.65308
EthereumClassic,ethereum-classic,70377.22236591838
EthereumPoW,ethereum-pow-iou,2629319.832917734
Everscale,everscale,0.0
Evmos,evmos,119723.93838868129
Fantom,fantom,337971395.5065013
Filecoin,,243698.3527534546
Flare,,115801717.70864052
Flow,flow,39285220.829194665
Fraxtal,,42180556.834493846
Fuse,fuse-network-token,234848.66376529352
Glue,glue-2,119983.09058329821
Gnosis,gnosis,148278529.43361002
Harmony,harmony,8119181.26967315
Heco,huobi-token,0.0
Hedera,hedera,176031715.123092
Hemi,,47404637.57016312
Hyperliquid L1,hyperliquid,4788337772.4434595
ICP,internet-computer,4523979.508944009
Icon,icon,4874699.444770291
Immutable zkEVM,immutable-x,11474575.562542332
Injective,injective-protocol,21542212.027517498
Ink,,130656130.57345971
IoTeX,iotex,5003751.994578188
KCC,kucoin-shares,10703426.151225787
Kadena,kadena,0.0
Kaia,,131618179.40858403
Kardia,kardiachain,483833.5971252471
Karura,karura,1687026.4233721485
Katana,,102667469.61540405
Kava,kava,134257551.48043448
Kroma,,93384.85975945822
Kujira,kujira,947864.3048129999
Kusama,kusama,239917.95165043575
Linea,,117941686.96375862
Lisk,,877101.9430635595
Loopring,loopring,2094656.8723420883
Manta,manta-network,10347982.19097064
Mantle,mantle,728902435.1121639
Mantra,,277014.27989797894
Meter,meter,1691330.5797187388
Metis,metis-token,15234878.922148855
Mezo,,17020448.78697244
Milkomeda C1,,0.0
Mixin,mixin,34470441.03005855
Mode,mode,1562373.649930835
Moonbeam,moonbeam,3949026.7874372397
Moonriver,moonriver,8669880.721981294
Morph,,4285178.346352142
Movement,movement,45504127.78739013
MultiversX,elrond-erd-2,10182531.50017478
NEO,neo,3858688.8030090756
Near,near,259484288.20435247
Nero,,10.99784306947121
Nibiru,,2937186.2497258564
Noble,,305735975.0106597
OKExChain,oec-token,9877806.365518868
OP Mainnet,,707053575.1060919
Oasis,oasis-network,409228.66268466617
Omni,omni,80016338.18676424
Ontology,ontology,0.0
Osmosis,osmosis,47991899.981135085
Penumbra,,470.49577693377614
Perennial,,901272.1733162773
Plasma,,2660149751.711727
Plume Mainnet,plume,34214679.036249235
Polkadot,polkadot,265325896.368572
Polygon,matic-network,3115735443.4911017
Polygon zkEVM,,1671155.899096769
Provenance,,99665078.43135615
PulseChain,pulsechain,43503460.493980065
REINetwork,rei-network,2140.377863253029
Ronin,,5.816603912837332
Rootstock,rootstock,17227845.3775093
SXnetwork,sx-network,119836.25733890304
Saga,,257.36848411993134
Scroll,,31701992.92056932
Secret,secret,
Sei,,141591717.51229396
Shape,,54224.22067444472
Shiden,shiden,32701.269506290875
Solana,solana,14399141748.159323
Soneium,soneium,29079502.903865315
Songbird,songbird,1158685.9720923132
Sonic,sonic-3,197191508.08405566
Sophon,,2350734.8981203805
Stacks,blockstack,6239977.559221277
StarkNet,,148354598.51138592
Statemine,,239917.95165043575
Stellar,stellar,247656689.7383792
Story,,5161482.416784687
Sui,sui,810714521.139531
Superposition,,266.7600392074299
Swellchain,,252490.25726080645
Syscoin,syscoin,235421.3570567292
TON,the-open-network,844508659.5766269
Taiko,,1620051.4349705526
Telos,telos,712616.1635789889
Terra Classic,terra-luna,0.0
Tezos,tezos,53303428.34465923
Theta,theta-token,40612.14515375543
ThunderCore,thunder-token,878520.972985302
Tron,tron,77864168866.00075
Unichain,,192874534.2510395
VeChain,vechain,182126.2095390094
Velas,velas,7795.97387575365
Viction,tomochain,173251.76288986485
Wanchain,wanchain,1814004.763285277
Waves,waves,8327489.816685495
World Chain,worldcoin-wld,30723167.134870633
X Layer,x-layer,6652106.723571904
XDC,xdce-crowd-sale,29158035.53511186
XRPL,ripple,307743166.2032874
Xai,,25.012332505055618
ZKsync Era,,60616831.672684364
Zilliqa,zilliqa,3780055.0558107104
Zircuit,,1266981.9718808571
Zkfair,,88228.65131581438
re.al,,0.0
smartBCH,bitcoin-cash,134227510.44928423
zkSync Lite,,8825205.864019804
