month_end,share_USD,share_nonUSD,share_USD_lower,share_USD_upper
2025-12-31,0.9965171017299914,0.003482898270008583,0.4146525302443847,2.3899177874838893
2026-01-31,0.996486600299739,0.0035133997002609885,0.28803239803781155,3.4323856346970114
2026-02-28,0.996377695779533,0.003622304220467054,0.21774297688347238,4.530615566804415
2026-03-31,0.9962917471989405,0.003708252801059464,0.17252364980657275,5.723568552875556
2026-04-30,0.9962427225042993,0.0037572774957006505,0.14053370877587362,7.032255710396361
2026-05-31,0.9962184134456178,0.0037815865543822103,0.11674767460077627,8.471109118458909
2026-06-30,0.9962048367339964,0.0037951632660035983,0.09844029345346049,10.052671853856047
2026-07-31,0.9961927618504715,0.0038072381495285468,0.08398521964511298,11.788856925517297
2026-08-31,0.9961776117652696,0.003822388234730356,0.07234403858277315,13.691496124647673
2026-09-30,0.9961578240541706,0.0038421759458293625,0.06281939455390477,15.772616557256052
2026-10-31,0.9961334047645175,0.003866595235482495,0.0549242931616009,18.044596871415603
2026-11-30,0.9961050067564262,0.0038949932435737855,0.04830788399929186,20.520265037803586
2026-12-31,0.9960734372666548,0.00392656273334524,0.046652157809134454,21.24848319693631
2027-01-31,0.9960394355778432,0.003960564422156754,0.04516948567088533,21.945632589646124
2027-02-28,0.9960035975429665,0.003996402457033477,0.043831256354895716,22.61511826718927
2027-03-31,0.9959663700700013,0.004033629929998672,0.042615108622869144,23.259773036719128
2027-04-30,0.995928073200126,0.004071926799874004,0.041503272275014484,23.88198266358501
2027-05-31,0.9958889288546615,0.004111071145338485,0.04048141918916818,24.48377810313911
2027-06-30,0.9958490872735974,0.004150912726402556,0.039537848326167614,25.06690475625392
2027-07-31,0.9958086482269771,0.004191351773022878,0.038662895408603175,25.63287534918882
2027-08-31,0.9957676768236933,0.004232323176306729,0.03784849737899253,26.18301091270992
2027-09-30,0.9957262147699503,0.004273785230049731,0.037087865751569735,26.71847296327926
2027-10-31,0.9956842881508446,0.004315711849155357,0.03637523802114914,27.240289080232806
2027-11-30,0.9956419127013203,0.004358087298679703,0.03570568596866571,27.749373457148355
2027-12-31,0.9955990973282425,0.004400902671757523,0.03507496606827145,28.246543580278765
2028-01-31,0.9955558464428217,0.00444415355717831,0.03447940147535962,28.73253388803546
2028-02-29,0.9955121614964957,0.004487838503504316,0.033915787999320116,29.208007052217667
2028-03-31,0.9954680419889435,0.004531958011056547,0.03338131849966126,29.673563367348503
2028-04-30,0.9954234861285142,0.004576513871485832,0.03287352158187526,30.129748621373334
2028-05-31,0.9953784912646033,0.004621508735396684,0.032390211499641074,30.577060737083443
2028-06-30,0.9953330541706631,0.00466694582933691,0.03192944691769828,31.015955410729312
2028-07-31,0.9952871712294244,0.00471282877057555,0.031489496738925114,31.44685092662763
2028-08-31,0.9952408385540873,0.004759161445912707,0.031068811606977595,31.870132290100432
2028-09-30,0.9951940520675586,0.004805947932441379,0.030666000001776574,32.286154792941474
2028-10-31,0.9951468075541885,0.004853192445811505,0.030279808076841927,32.695247103670674
2028-11-30,0.9950991006934747,0.004900899306525264,0.029909102564493903,33.09771395764938
2028-12-31,0.9950509270819392,0.004949072918060793,0.02955285621136982,33.49383850849743
2029-01-31,0.9950022822472556,0.0049977177527443795,0.029210135312608923,33.88388439143313
2029-02-28,0.9949531616572991,0.005046838342700921,0.028880088995936873,34.26809754044726
2029-03-31,0.9949035607258756,0.005096439274124398,0.028561939972145487,34.64670779421748
2029-04-30,0.994853474816284,0.005146525183716055,0.028254976520228875,35.01993031996571
2029-05-31,0.9948028992434643,0.0051971007565356775,0.027958545516725265,35.38796687982113
2029-06-30,0.9947518292752292,0.005248170724770795,0.027672046351969914,35.75100696042045
2029-07-31,0.9947002601328989,0.005299739867101083,0.027394925602701344,36.109228783345785
2029-08-31,0.994648186991553,0.005351813008447004,0.02712667235218085,36.46280021137531
2029-09-30,0.9945956049800331,0.005404395019966923,0.026866814066679803,36.81187956335681
2029-10-31,0.9945425091807878,0.005457490819212207,0.026614912951695775,37.156616348695266
2029-11-30,0.9944888946296151,0.0055111053703849056,0.026370562723202387,37.49715193091567
2029-12-31,0.9944347563153388,0.005565243684661159,0.026133385739107593,37.8336201284806
2030-01-31,0.9943800891794448,0.005619910820555241,0.025903030444299105,38.16614775994537
2030-02-28,0.9943248881156872,0.0056751118843128,0.025679169089486927,38.494855139613215
2030-03-31,0.9942691479696814,0.005730852030318645,0.025461495689772934,38.819856529065184
2030-04-30,0.99421286353848,0.005787136461519959,0.025249724193686967,39.14126054925748
2030-05-31,0.9941560295701453,0.005843970429854739,0.025043586837474093,39.459170557308546
2030-06-30,0.9940986407633111,0.005901359236688886,0.024842832662847713,39.773684991593605
2030-07-31,0.9940406917667436,0.005959308233256411,0.02464722617932784,40.084897688338835
2030-08-31,0.9939821771788957,0.006017822821104302,0.024456546154760343,40.39289817253282
2030-09-30,0.9939230915474583,0.006076908452541718,0.02427058451972671,40.697771925648965
2030-10-31,0.9938634293689083,0.006136570631091742,0.024089145373361834,40.9996006323943
2030-11-30,0.9938031850880531,0.006196814911946902,0.02391204407965172,41.29846240845441
